State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	2.95660	2.98469	2.97064	3.01980	3.09003	3.03385	3.06194	3.17430	3.43414	3.51842	3.46926	3.48330	3.48330	3.43414	3.27964	3.23751	3.28667	3.26560	3.31476	3.27964	3.11110
2	6.27769	6.34958	6.30165	6.46938	6.30165	6.42146	6.03809	5.96621	5.17550	4.67233	4.43272	4.21708	3.66598	3.71390	3.80975	3.68994	3.59410	4.07331	3.73786	3.73786	4.09727
3	5.15304	5.49929	5.45855	5.09194	4.99010	4.76605	4.72532	4.15502	3.64583	3.29957	2.99406	2.70891	2.62744	2.32192	2.54597	2.89222	2.95332	2.64781	2.62744	2.66817	2.72928
4	3.89963	3.66154	3.59586	3.68617	3.38241	3.58766	3.41525	3.29210	3.11970	3.03760	2.89804	3.02118	3.11149	3.30031	3.45630	3.62870	3.84216	3.53840	3.54661	3.49735	3.42346
5	5.14571	5.10430	5.08359	4.91793	4.93864	4.57627	4.20354	4.20354	4.04824	3.78940	3.47879	3.37526	3.83081	3.85152	3.76869	3.60303	3.45808	3.63409	3.42702	3.56162	3.70657
6	2.73476	2.61198	2.53942	2.32734	2.41664	2.52826	2.56733	2.51152	2.69569	2.74034	2.81848	3.01382	2.85197	2.81848	2.85755	2.84638	2.79057	2.68453	2.65104	2.66221	2.67895
7	4.22449	4.22449	3.95240	4.06696	3.79488	3.52279	3.43687	3.15046	3.00726	2.77814	2.69221	2.42013	2.27693	2.23397	2.20532	2.07644	2.57765	2.66357	2.43445	2.31989	2.30557
8	0.68367	0.64218	0.64579	0.61693	0.62054	0.62956	0.60611	0.59348	0.61332	0.61873	0.61873	0.58987	0.55560	0.52673	0.51591	0.50148	0.49066	0.47983	0.49607	0.48344	0.49246
9	0.53623	0.52457	0.51033	0.51551	0.51939	0.51292	0.51680	0.52587	0.52069	0.51421	0.51680	0.52328	0.54789	0.54918	0.54271	0.56473	0.54789	0.53623	0.54400	0.56473	0.55695
10	2.09989	2.10753	2.11339	2.13225	2.14193	2.15110	2.16206	2.19492	2.22830	2.27849	2.33811	2.37047	2.39645	2.41582	2.43365	2.45225	2.46550	2.47594	2.48461	2.49047	2.48919
11	6.09385	6.09677	6.10846	6.02956	5.97989	5.89515	5.86155	5.73444	5.52113	5.28299	4.97472	4.70151	4.45460	4.25444	4.04260	3.82929	3.63206	3.48449	3.39391	3.28142	3.19668
12	4.80497	4.75037	4.85957	5.35099	4.64116	4.36815	3.76753	3.11231	2.62089	2.07487	1.63806	1.41965	1.52885	1.09204	1.31045	1.36505	1.31045	1.09204	1.03744	1.14664	1.20124
13	1.09639	1.09289	1.10456	1.08823	1.09406	1.09639	1.10456	1.13022	1.14421	1.13722	1.14305	1.15588	1.16288	1.16987	1.18271	1.19437	1.21303	1.21536	1.20953	1.21186	1.22003
14	0.53363	0.53507	0.53444	0.53492	0.53626	0.53741	0.54000	0.54081	0.54201	0.54685	0.55030	0.55173	0.55370	0.55642	0.55935	0.56279	0.56461	0.56840	0.57098	0.57338	0.57625
15	1.87870	1.89228	1.96558	2.03617	2.06603	2.13119	2.15834	2.13390	2.17191	2.04160	1.97916	2.07146	2.15019	2.21807	2.22078	2.16920	2.18549	2.26422	2.30223	2.28322	2.26965
