State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	8.03966	8.74631	9.47775	9.99224	9.86207	9.26700	8.08305	6.00650	3.96714	2.88858	2.31210	2.00837	2.31210	3.14892	4.69858	6.33503	7.89709	8.69052	9.44676	9.22361	8.90747
2	7.23291	8.05771	8.35380	10.23605	12.07600	14.48697	15.60786	16.58070	15.73475	15.52326	16.17887	13.55642	14.95224	17.08827	18.69559	19.05512	17.84963	16.66530	13.93710	11.97025	10.32064
3	5.57305	6.56181	7.96406	9.22249	11.46969	14.50790	18.12139	22.43600	25.70792	24.28769	23.71241	30.05849	33.70794	34.84053	32.59333	27.45175	21.96859	17.06071	12.88992	10.17530	8.32361
4	4.49272	5.25358	6.36951	8.50718	12.30425	18.05782	26.58673	35.51420	43.17355	46.02860	43.07935	43.97789	41.99240	39.41996	33.24610	23.70995	14.55060	9.47818	6.81878	5.08691	3.79707
5	4.84343	5.95833	7.10065	9.31218	13.00415	19.21836	27.94567	39.70698	50.33510	52.83907	61.86795	81.67118	80.13590	69.75451	50.20717	31.93008	19.30975	12.03546	7.75862	5.41002	3.90216
6	3.95573	4.57643	5.69961	7.50259	9.60608	12.17755	13.96083	15.24164	16.78354	21.26638	21.85259	9.96076	8.41886	8.46813	9.99525	10.80807	10.17259	7.71442	5.68483	4.44835	3.70942
7	8.56978	10.26351	12.86731	14.99079	16.34325	14.30824	9.92223	5.67527	3.88042	3.17259	3.18523	3.42538	5.30871	13.37290	33.45752	52.42985	58.91406	54.07302	44.55526	35.60629	28.73024
8	1.94248	1.78804	1.50303	1.20211	0.86297	0.66713	0.57001	0.50950	0.47288	0.48403	0.48403	0.49517	0.51587	0.55568	0.62414	0.92188	1.75619	3.00766	4.39446	5.37844	5.98029
9	1.25071	1.18097	1.10552	0.95918	0.75683	0.58648	0.46301	0.41500	0.38870	0.33726	0.31439	0.30753	0.32468	0.34640	0.43100	0.69395	1.16954	1.73888	2.16188	2.49227	2.74950
10	1.82018	1.76644	1.70100	1.60700	1.48556	1.32207	1.14104	0.93146	0.74525	0.63754	0.58626	0.57727	0.60223	0.64721	0.72726	0.87524	1.05289	1.21480	1.33219	1.43879	1.50085
11	1.08838	0.98135	0.88463	0.77889	0.69894	0.63575	0.61770	0.62672	0.63833	0.66541	0.67831	0.70281	0.72215	0.74278	0.78018	0.82531	0.94395	1.11031	1.31148	1.53070	1.81827
12	0.48194	0.72291	0.86750	0.86750	1.01208	1.34944	1.25305	1.10847	0.86750	1.01208	1.15666	1.10847	0.86750	1.06028	0.96389	0.96389	1.06028	1.20486	1.30125	1.01208	1.01208
13	0.81022	0.79683	0.78448	0.78036	0.75565	0.74124	0.72992	0.71550	0.68668	0.67020	0.65579	0.66403	0.66506	0.66506	0.67741	0.68462	0.68874	0.68565	0.69491	0.70933	0.71344
14	0.62415	0.60995	0.59439	0.57267	0.54498	0.50487	0.45913	0.40752	0.35984	0.33139	0.31685	0.31478	0.32104	0.33249	0.34754	0.36686	0.38529	0.40076	0.41348	0.42354	0.43233
15	2.85399	3.16311	3.31887	3.37159	3.40753	3.36440	3.06007	2.69823	2.27169	2.08717	2.05363	2.02008	1.99611	2.01768	2.07280	2.26690	2.52330	2.71500	2.73417	2.58560	2.47777
