State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	0.49508	3.92243	2.46335	1.07794	3.46962	2.31217	6.81899	0.71343
2	0.14510	49.09075	6.61247	1.31763	4.43319	16.17937	13.79935	0.60280
3	0.17070	76.91000	8.06413	1.43613	2.99437	23.71314	18.62587	0.72867
4	0.42350	54.86872	7.31555	1.37002	2.89834	43.07343	21.13633	0.42454
5	0.33581	68.90351	10.43126	1.79202	3.47915	61.86985	25.94732	0.22451
6	0.62296	15.83462	3.25429	1.21121	2.81877	21.85327	9.71377	0.58564
7	0.24279	1.69646	2.85183	2.20517	2.69250	3.18532	17.83180	0.29218
8	1.92740	0.07711	0.72517	2.27878	0.61880	0.48404	1.46736	0.29630
9	2.68429	0.11918	0.58701	2.22875	0.51686	0.31440	0.90665	0.37503
10	13.64637	0.54434	2.14698	1.74529	2.33810	0.58628	1.16853	0.50584
11	2.37974	1.11754	6.57182	2.28647	4.97232	0.67833	0.89798	0.21146
12	0.06368	0.57354	4.97616	0.67599	1.63823	1.15670	0.98480	0.19153
13	2.98087	0.45553	0.90413	0.58652	1.14317	0.65581	0.77064	0.95634
14	72.60108	0.10947	0.46625	0.73686	0.55035	0.31686	0.47224	1.18519
15	1.28064	0.98107	1.83534	1.27846	1.97936	2.05369	2.66062	0.66476
Base	100	0.6832847744	2.4487802305	42.0774209923	0.0009290009	0.0010525920	3.4107529258	36.8568410921
