State (Emission order)	H3k27me3	H3k4me1	H3k4me2	H3k4me3	H3k9ac	H3k27ac	H3k09me3	H3k36me3	H4k20me1	H3k79me2
1	0.6640703301429699	0.029231291853142435	1.5614752975175442E-37	0.0012446929718721597	0.0025510003205449607	0.0011978547651596671	0.012754856960359464	0.0011422034968675407	0.05992173638767322	0.0021242718922690053
2	0.8488469471304338	0.3344053727399034	0.7630178997399565	0.11502579921504642	0.008027062737364352	0.002042469717412779	0.007194007590709619	9.034611224428807E-4	0.10654592689109076	0.0036184199066359966
3	0.881752515152715	0.30592923419011714	0.9992366651525069	0.960800481148445	0.10568746864697642	0.0027150779676536805	0.0036222443352759972	7.552646122086511E-4	0.06196735513186237	0.007426538378795277
4	0.023857849685448507	0.14682831572607585	0.9471230465083107	0.9896926223141965	0.3452706801496466	0.05759633813650422	0.002122205775306958	1.6443886477733247E-4	0.016643644966647123	0.006084552270267973
5	0.0026227616577996125	0.08484002375529354	0.9455722564641224	0.9754920065665409	0.9839047307743559	0.6172493404638837	0.002324870837406274	0.004067341369186938	0.03701615917534208	0.24573866007759385
6	0.012044624901041152	0.26463357872421944	0.632062864018457	0.1221540839823165	0.07402754796268668	0.110932831515135	0.006039855177961829	0.0028163501705434427	0.017679165468490143	0.011756464039057666
7	0.01044215398967712	0.21876643661215298	0.8819196131002974	0.5605546237443425	0.1492323735028364	0.07456140967064427	0.006494260072386618	0.05419568136377663	0.17210194589553474	0.9212990834472814
8	0.0019136104022995073	0.04230105557855345	0.017559282510052034	0.0018289492501267735	0.00478939779423953	0.020390777952025027	0.01370681570828952	0.04170277894260217	0.09757768940710232	0.877809938192786
9	0.0016418908631517354	0.014093999526206439	0.0035599505244587387	6.396380486680691E-4	0.001977309847221979	0.009235759534236488	0.010608234622899325	0.009311375796659584	0.02628203504308358	0.2540334771810335
10	0.003499380139768515	0.0057839135949373476	3.406730260620546E-4	2.636857318148124E-4	0.0023911526668543037	0.0063249100640088455	0.005703072194557839	0.010642122688520158	0.014424895716676014	0.005099859685846161
11	0.0016270695517603866	0.006641860113699385	9.90050955825733E-4	4.363518721919686E-4	0.004770962219835229	0.01767665203923438	0.007763752814862761	0.37644017927640927	0.05281620209346973	0.021596650148022572
12	0.3542813921296533	0.15222504126649847	0.1423014750767315	0.1508761207521859	0.29633940250485313	0.2795955592062262	0.9675883906340237	0.666147103441997	0.3036710809496973	0.24206592260757714
13	0.008289072414970719	0.0015220028465819072	3.651529545225466E-4	6.184111073429081E-4	9.125003766838984E-4	0.0020638520153840123	0.26859155236059107	0.005929117567631524	0.0018359720354517192	0.0015276051599010369
14	0.0017539232579346052	0.002691590170411294	5.898485514105076E-4	1.661062433658826E-4	8.439400925631661E-4	0.0026460230470092823	0.007613654126162869	4.941209853124626E-4	0.0024799278749900724	4.026888023703598E-4
15	0.01071763989203537	0.2497039423706068	0.05619353231135679	0.004221534363494721	0.017307201252016964	0.04960050715784671	0.009529008516589476	0.0038602500082718224	0.027121290160833735	0.005887313702143233
