15	10	E	-6210697.7521561915	200
probinit	1	0.0
probinit	2	0.0
probinit	3	0.0
probinit	4	0.0
probinit	5	0.0
probinit	6	3.4977798073169116E-149
probinit	7	0.0
probinit	8	0.0
probinit	9	7.421256387054952E-251
probinit	10	0.08688023987526511
probinit	11	5.2961967047778405E-250
probinit	12	0.0
probinit	13	1.2008976954460225E-276
probinit	14	0.913119760124735
probinit	15	1.612602819303173E-168
transitionprobs	1	1	0.8477441288664256
transitionprobs	1	2	0.06427968294358875
transitionprobs	1	3	0.01086323609567646
transitionprobs	1	4	0.001246569030767761
transitionprobs	1	5	0.0
transitionprobs	1	6	0.004878993948395181
transitionprobs	1	7	0.0
transitionprobs	1	8	6.84511285037417E-5
transitionprobs	1	9	0.0
transitionprobs	1	10	0.03272266195244051
transitionprobs	1	11	4.806937699741854E-5
transitionprobs	1	12	7.549712072376584E-5
transitionprobs	1	13	7.946972182023455E-4
transitionprobs	1	14	0.032527858247748474
transitionprobs	1	15	0.004750154070529974
transitionprobs	2	1	0.20216556905701466
transitionprobs	2	2	0.5550453217152257
transitionprobs	2	3	0.20599274615597174
transitionprobs	2	4	0.0075158319657383545
transitionprobs	2	5	0.0
transitionprobs	2	6	0.014838363498223865
transitionprobs	2	7	0.0
transitionprobs	2	8	3.2039216690856056E-4
transitionprobs	2	9	0.0
transitionprobs	2	10	0.0041247173498019166
transitionprobs	2	11	0.0
transitionprobs	2	12	0.0
transitionprobs	2	13	0.0
transitionprobs	2	14	0.004917961530642524
transitionprobs	2	15	0.005079096560472654
transitionprobs	3	1	0.03267590057414464
transitionprobs	3	2	0.19082646528695657
transitionprobs	3	3	0.6774963084836129
transitionprobs	3	4	0.06903143531924447
transitionprobs	3	5	0.0
transitionprobs	3	6	0.025970435479262418
transitionprobs	3	7	0.0010029046335893058
transitionprobs	3	8	6.537516107036172E-5
transitionprobs	3	9	0.0
transitionprobs	3	10	0.0
transitionprobs	3	11	0.0
transitionprobs	3	12	0.0
transitionprobs	3	13	0.0
transitionprobs	3	14	0.0029311750621194583
transitionprobs	3	15	0.0
transitionprobs	4	1	0.0017273520362086818
transitionprobs	4	2	0.0034361951903560954
transitionprobs	4	3	0.02925167493062636
transitionprobs	4	4	0.6337526911775724
transitionprobs	4	5	0.07387744024782318
transitionprobs	4	6	0.20894254292653722
transitionprobs	4	7	0.009907538455606157
transitionprobs	4	8	0.0
transitionprobs	4	9	0.0013235907904975879
transitionprobs	4	10	0.020255058558245685
transitionprobs	4	11	2.5638211408022523E-4
transitionprobs	4	12	2.0251316630020928E-4
transitionprobs	4	13	4.395633483804094E-4
transitionprobs	4	14	0.016625265516910702
transitionprobs	4	15	2.1915408550956743E-6
transitionprobs	5	1	0.0
transitionprobs	5	2	0.0
transitionprobs	5	3	0.0
transitionprobs	5	4	0.08812229049036377
transitionprobs	5	5	0.7553075897625529
transitionprobs	5	6	0.08583285722073389
transitionprobs	5	7	0.07056543404320899
transitionprobs	5	8	0.0
transitionprobs	5	9	0.0
transitionprobs	5	10	0.0
transitionprobs	5	11	0.0
transitionprobs	5	12	1.718136545114089E-4
transitionprobs	5	13	0.0
transitionprobs	5	14	0.0
transitionprobs	5	15	1.4828629114290572E-8
transitionprobs	6	1	0.0032356839923916975
transitionprobs	6	2	0.003204190856943977
transitionprobs	6	3	0.005858648249124086
transitionprobs	6	4	0.11845460588709347
transitionprobs	6	5	0.037362535246366645
transitionprobs	6	6	0.503436939092259
transitionprobs	6	7	0.0049160244150931376
transitionprobs	6	8	0.001952763006497547
transitionprobs	6	9	0.01410280922522859
transitionprobs	6	10	0.0652817013653418
transitionprobs	6	11	0.0018193869274276762
transitionprobs	6	12	2.104157532336052E-4
transitionprobs	6	13	0.0018518876242358988
transitionprobs	6	14	0.09363490813225582
transitionprobs	6	15	0.1446775002265069
transitionprobs	7	1	0.0
transitionprobs	7	2	1.8327908133113965E-5
transitionprobs	7	3	8.718850573204323E-4
transitionprobs	7	4	0.017260899721465352
transitionprobs	7	5	0.08690719502869554
transitionprobs	7	6	0.01350771928199262
transitionprobs	7	7	0.7148455899045131
transitionprobs	7	8	0.1328627435688598
transitionprobs	7	9	0.027817686689753283
transitionprobs	7	10	0.0
transitionprobs	7	11	0.005678178811694352
transitionprobs	7	12	8.878674852294531E-5
transitionprobs	7	13	0.0
transitionprobs	7	14	0.0
transitionprobs	7	15	1.409872790495595E-4
transitionprobs	8	1	0.0
transitionprobs	8	2	4.608606716036864E-5
transitionprobs	8	3	1.3132812271539112E-5
transitionprobs	8	4	0.0
