State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1	0.8477441288664256	0.06427968294358875	0.01086323609567646	0.001246569030767761	0.0	0.004878993948395181	0.0	6.84511285037417E-5	0.0	0.03272266195244051	4.806937699741854E-5	7.549712072376584E-5	7.946972182023455E-4	0.032527858247748474	0.004750154070529974
2	0.20216556905701466	0.5550453217152257	0.20599274615597174	0.0075158319657383545	0.0	0.014838363498223865	0.0	3.2039216690856056E-4	0.0	0.0041247173498019166	0.0	0.0	0.0	0.004917961530642524	0.005079096560472654
3	0.03267590057414464	0.19082646528695657	0.6774963084836129	0.06903143531924447	0.0	0.025970435479262418	0.0010029046335893058	6.537516107036172E-5	0.0	0.0	0.0	0.0	0.0	0.0029311750621194583	0.0
4	0.0017273520362086818	0.0034361951903560954	0.02925167493062636	0.6337526911775724	0.07387744024782318	0.20894254292653722	0.009907538455606157	0.0	0.0013235907904975879	0.020255058558245685	2.5638211408022523E-4	2.0251316630020928E-4	4.395633483804094E-4	0.016625265516910702	2.1915408550956743E-6
5	0.0	0.0	0.0	0.08812229049036377	0.7553075897625529	0.08583285722073389	0.07056543404320899	0.0	0.0	0.0	0.0	1.718136545114089E-4	0.0	0.0	1.4828629114290572E-8
6	0.0032356839923916975	0.003204190856943977	0.005858648249124086	0.11845460588709347	0.037362535246366645	0.503436939092259	0.0049160244150931376	0.001952763006497547	0.01410280922522859	0.0652817013653418	0.0018193869274276762	2.104157532336052E-4	0.0018518876242358988	0.09363490813225582	0.1446775002265069
7	0.0	1.8327908133113965E-5	8.718850573204323E-4	0.017260899721465352	0.08690719502869554	0.01350771928199262	0.7148455899045131	0.1328627435688598	0.027817686689753283	0.0	0.005678178811694352	8.878674852294531E-5	0.0	0.0	1.409872790495595E-4
8	0.0	4.608606716036864E-5	1.3132812271539112E-5	0.0	0.0	7.403127266650156E-4	0.016966421241698313	0.9353404330934418	0.04289780856391254	0.0	0.0036779149386827483	4.913400752602398E-5	2.0714681619410677E-7	0.0	2.6854940182532245E-4
9	1.6124998049281322E-5	0.0	0.0	2.470347807958263E-4	0.0	0.003703685186323303	0.0026593078863056236	0.030216947812345747	0.9437995207128312	0.013412552284679807	0.004119676732704727	1.1887064256768693E-4	4.047536476994714E-4	0.0	0.0013015253156970434
10	0.00115225924911732	4.206403780359779E-5	1.4741923867735035E-5	6.075651821809966E-4	0.0	0.0033339210718690065	0.0	0.0	0.002491348903427343	0.9699603612242151	0.006093626174810705	2.5650427189360254E-5	7.874370559418377E-4	6.614380533895773E-5	0.015424880944238054
11	1.984771235924101E-6	0.0	0.0	8.476749875106926E-6	0.0	4.952740593071891E-4	6.409120798621391E-4	0.002736939783981078	0.004509848634541292	0.03577861530078451	0.9548868274808812	3.863545100448659E-4	2.1421419763705262E-4	0.0	3.4055243184968886E-4
12	4.8742822439490395E-4	0.0	0.0	8.93227505642429E-4	3.8051186716799327E-4	0.0015395942044708875	1.04480180097942E-4	0.0021373364839797136	0.003370599112192736	0.007390485433052207	0.015042667777332106	0.7254544472582211	0.24217603374809596	0.0	0.0010231882053521012
13	1.319328865914126E-4	0.0	5.691305178741946E-6	3.4547785176896475E-5	0.0	3.516449133059859E-4	0.0	0.0	3.437730954118998E-4	0.003350483448933063	9.727598611097068E-5	0.004781002956764773	0.9481905234260558	0.04163897785377	0.001074146342700352
14	2.2785907893278112E-4	1.0062025659293722E-5	0.0	1.1132343997828586E-4	0.0	9.693479895274979E-4	0.0	0.0	0.0	1.2070775727319819E-5	0.0	0.0	0.0019993050315414867	0.9945597481321986	0.0021102835264348785
15	0.0013920954667636868	3.635116983077813E-4	0.0	4.590418102984697E-7	0.0	0.056938947123081764	3.969353465009587E-5	3.2694891936635575E-4	0.0018077904517491133	0.12096884723099895	2.2297740899766006E-4	2.2806386618548382E-5	0.0019368508354885726	0.08034032326524683	0.7356387486369204
